id,Año,Mes,Nmes,Fecha,Esfp,Arbol,Diam,Crecimiento,Cumm
1,2019,1,12,2019-12-30,ESFP2,6,9.79,0.0,0.0
2,2019,1,12,2019-12-30,ESFP2,10,35.96,0.0,0.0
3,2019,1,12,2019-12-30,ESFP5,1,41.53,0.0,0.0
4,2019,1,12,2019-12-30,ESFP5,11,0.0,0.0,0.0
5,2019,1,12,2019-12-30,ESFP9,6,19.54,0.0,0.0
6,2019,1,12,2019-12-30,ESFP9,12,0.2,0.0,0.0
7,2019,1,12,2019-12-30,ESFP13,1,27.8,0.0,0.0
8,2019,1,12,2019-12-30,ESFP13,2,37.31,0.0,0.0
9,2019,1,12,2019-12-30,ESFP16,5,13.24,0.0,0.0
10,2019,1,12,2019-12-30,ESFP16,15,16.69,0.0,0.0
11,2020,2,1,2020-01-30,ESFP2,6,9.79,0.0,0.0
12,2020,2,1,2020-01-30,ESFP2,10,36.01,0.4999999999999716,0.4999999999999716
13,2020,2,1,2020-01-30,ESFP5,1,41.55,0.1999999999999602,0.1999999999999602
14,2020,2,1,2020-01-30,ESFP5,11,0.0,0.0,0.0
15,2020,2,1,2020-01-30,ESFP9,6,19.56,0.19999999999999574,0.19999999999999574
16,2020,2,1,2020-01-30,ESFP9,12,0.21,0.009999999999999981,0.009999999999999981
17,2020,2,1,2020-01-30,ESFP13,1,27.8,0.0,0.0
18,2020,2,1,2020-01-30,ESFP13,2,37.34,0.30000000000001137,0.30000000000001137
19,2020,2,1,2020-01-30,ESFP16,5,13.24,0.0,0.0
20,2020,2,1,2020-01-30,ESFP16,15,16.71,0.19999999999999574,0.19999999999999574
21,2020,3,2,2020-02-27,ESFP2,6,9.79,0.0,0.0
22,2020,3,2,2020-02-27,ESFP2,10,36.03,0.20000000000003126,0.7000000000000028
23,2020,3,2,2020-02-27,ESFP5,1,41.57,0.20000000000003126,0.3999999999999915
24,2020,3,2,2020-02-27,ESFP5,11,0.24,0.24,0.24
25,2020,3,2,2020-02-27,ESFP9,6,19.59,0.30000000000001137,0.5000000000000071
26,2020,3,2,2020-02-27,ESFP9,12,0.42,0.21,0.21999999999999997
27,2020,3,2,2020-02-27,ESFP13,1,27.8,0.0,0.0
28,2020,3,2,2020-02-27,ESFP13,2,37.34,0.0,0.30000000000001137
29,2020,3,2,2020-02-27,ESFP16,5,13.29,0.49999999999998934,0.49999999999998934
30,2020,3,2,2020-02-27,ESFP16,15,16.71,0.0,0.19999999999999574
31,2020,4,3,2020-04-01,ESFP2,6,9.79,0.0,0.0
32,2020,4,3,2020-04-01,ESFP2,10,36.14,1.0999999999999943,1.7999999999999972
33,2020,4,3,2020-04-01,ESFP5,1,41.69,1.1999999999999744,1.599999999999966
34,2020,4,3,2020-04-01,ESFP5,11,0.39,0.15000000000000002,0.39
35,2020,4,3,2020-04-01,ESFP9,6,19.73,1.4000000000000057,1.9000000000000128
36,2020,4,3,2020-04-01,ESFP9,12,0.62,0.2,0.42
