id,Año,Mes,Nmes,Fecha,Esfp,Porcion,MO
1,2019,1,12,2019-12-30,ESFP2,Ramas,92.73
2,2019,1,12,2019-12-30,ESFP2,Corteza,118.75
3,2019,1,12,2019-12-30,ESFP2,Acículas,8.75
4,2019,1,12,2019-12-30,ESFP2,Piñas,10.1
5,2019,1,12,2019-12-30,ESFP2,Flores,0.0
6,2019,1,12,2019-12-30,ESFP2,Heces,0.0
7,2019,1,12,2019-12-30,ESFP2,Otros,0.0
8,2019,1,12,2019-12-30,ESFP5,Ramas,0.0
9,2019,1,12,2019-12-30,ESFP5,Corteza,71.69
10,2019,1,12,2019-12-30,ESFP5,Acículas,74.0
11,2019,1,12,2019-12-30,ESFP5,Piñas,77.2
12,2019,1,12,2019-12-30,ESFP5,Flores,0.0
13,2019,1,12,2019-12-30,ESFP5,Heces,111.28
14,2019,1,12,2019-12-30,ESFP5,Otros,56.55
15,2019,1,12,2019-12-30,ESFP9,Ramas,0.0
16,2019,1,12,2019-12-30,ESFP9,Corteza,1.51
17,2019,1,12,2019-12-30,ESFP9,Acículas,0.0
18,2019,1,12,2019-12-30,ESFP9,Piñas,0.41
19,2019,1,12,2019-12-30,ESFP9,Flores,0.0
20,2019,1,12,2019-12-30,ESFP9,Heces,0.0
21,2019,1,12,2019-12-30,ESFP9,Otros,0.0
22,2019,1,12,2019-12-30,ESFP13,Ramas,33.73
23,2019,1,12,2019-12-30,ESFP13,Corteza,5.13
24,2019,1,12,2019-12-30,ESFP13,Acículas,0.0
25,2019,1,12,2019-12-30,ESFP13,Piñas,3.44
26,2019,1,12,2019-12-30,ESFP13,Flores,0.0
27,2019,1,12,2019-12-30,ESFP13,Heces,0.0
28,2019,1,12,2019-12-30,ESFP13,Otros,0.0
29,2019,1,12,2019-12-30,ESFP16,Ramas,12.52
30,2019,1,12,2019-12-30,ESFP16,Corteza,39.19
31,2019,1,12,2019-12-30,ESFP16,Acículas,12.26
32,2019,1,12,2019-12-30,ESFP16,Piñas,0.0
33,2019,1,12,2019-12-30,ESFP16,Flores,0.0
34,2019,1,12,2019-12-30,ESFP16,Heces,0.0
35,2019,1,12,2019-12-30,ESFP16,Otros,0.41
36,2020,2,1,2020-01-31,ESFP2,Ramas,0.0
37,2020,2,1,2020-01-31,ESFP2,Corteza,23.26
38,2020,2,1,2020-01-31,ESFP2,Acículas,5.35
39,2020,2,1,2020-01-31,ESFP2,Piñas,6.1
40,2020,2,1,2020-01-31,ESFP2,Flores,2.92
41,2020,2,1,2020-01-31,ESFP2,Heces,30.66
42,2020,2,1,2020-01-31,ESFP2,Otros,0.0
43,2020,2,1,2020-01-31,ESFP5,Ramas,55.99
44,2020,2,1,2020-01-31,ESFP5,Corteza,73.42
45,2020,2,1,2020-01-31,ESFP5,Acículas,366.25
46,2020,2,1,2020-01-31,ESFP5,Piñas,10.61
47,2020,2,1,2020-01-31,ESFP5,Flores,2.67
48,2020,2,1,2020-01-31,ESFP5,Heces,13.99
49,2020,2,1,2020-01-31,ESFP5,Otros,4.34
57,2020,2,1,2020-01-31,ESFP13,Ramas,4.78
58,2020,2,1,2020-01-31,ESFP13,Corteza,25.52
59,2020,2,1,2020-01-31,ESFP13,Acículas,4.16
60,2020,2,1,2020-01-31,ESFP13,Piñas,0.0
61,2020,2,1,2020-01-31,ESFP13,Flores,0.71
62,2020,2,1,2020-01-31,ESFP13,Heces,0.51
63,2020,2,1,2020-01-31,ESFP13,Otros,0.0
64,2020,2,1,2020-01-31,ESFP16,Ramas,0.0
65,2020,2,1,2020-01-31,ESFP16,Corteza,17.05
66,2020,2,1,2020-01-31,ESFP16,Acículas,2.05
67,2020,2,1,2020-01-31,ESFP16,Piñas,0.0
68,2020,2,1,2020-01-31,ESFP16,Flores,0.0
69,2020,2,1,2020-01-31,ESFP16,Heces,0.15
70,2020,2,1,2020-01-31,ESFP16,Otros,0.35
71,2020,3,2,2020-02-27,ESFP2,Ramas,1.05
72,2020,3,2,2020-02-27,ESFP2,Corteza,20.47
73,2020,3,2,2020-02-27,ESFP2,Acículas,7.01
74,2020,3,2,2020-02-27,ESFP2,Piñas,0.28
75,2020,3,2,2020-02-27,ESFP2,Flores,47.33
76,2020,3,2,2020-02-27,ESFP2,Heces,115.45
77,2020,3,2,2020-02-27,ESFP2,Otros,0.0
78,2020,3,2,2020-02-27,ESFP5,Ramas,0.0
79,2020,3,2,2020-02-27,ESFP5,Corteza,15.13
80,2020,3,2,2020-02-27,ESFP5,Acículas,367.32
81,2020,3,2,2020-02-27,ESFP5,Piñas,12.29
82,2020,3,2,2020-02-27,ESFP5,Flores,0.71
83,2020,3,2,2020-02-27,ESFP5,Heces,9.48
84,2020,3,2,2020-02-27,ESFP5,Otros,0.0
85,2020,3,2,2020-02-27,ESFP9,Ramas,0.0
86,2020,3,2,2020-02-27,ESFP9,Corteza,1.2
87,2020,3,2,2020-02-27,ESFP9,Acículas,0.0
88,2020,3,2,2020-02-27,ESFP9,Piñas,0.0
89,2020,3,2,2020-02-27,ESFP9,Flores,8.54
90,2020,3,2,2020-02-27,ESFP9,Heces,0.0
91,2020,3,2,2020-02-27,ESFP9,Otros,0.0
92,2020,3,2,2020-02-27,ESFP13,Ramas,0.0
93,2020,3,2,2020-02-27,ESFP13,Corteza,5.2
94,2020,3,2,2020-02-27,ESFP13,Acículas,0.0
95,2020,3,2,2020-02-27,ESFP13,Piñas,0.0
96,2020,3,2,2020-02-27,ESFP13,Flores,0.0
97,2020,3,2,2020-02-27,ESFP13,Heces,0.0
98,2020,3,2,2020-02-27,ESFP13,Otros,0.0
99,2020,3,2,2020-02-27,ESFP16,Ramas,1.36
100,2020,3,2,2020-02-27,ESFP16,Corteza,0.88
101,2020,3,2,2020-02-27,ESFP16,Acículas,0.73
102,2020,3,2,2020-02-27,ESFP16,Piñas,0.0
103,2020,3,2,2020-02-27,ESFP16,Flores,0.85
104,2020,3,2,2020-02-27,ESFP16,Heces,2.59
105,2020,3,2,2020-02-27,ESFP16,Otros,0.71
106,2020,4,3,2020-04-01,ESFP2,Ramas,0.0
107,2020,4,3,2020-04-01,ESFP2,Corteza,63.75
108,2020,4,3,2020-04-01,ESFP2,Acículas,9.7
109,2020,4,3,2020-04-01,ESFP2,Piñas,47.98
110,2020,4,3,2020-04-01,ESFP2,Flores,624.11
111,2020,4,3,2020-04-01,ESFP2,Heces,0.0
112,2020,4,3,2020-04-01,ESFP2,Otros,13.33
113,2020,4,3,2020-04-01,ESFP5,Ramas,0.0
114,2020,4,3,2020-04-01,ESFP5,Corteza,90.0
115,2020,4,3,2020-04-01,ESFP5,Acículas,565.89
116,2020,4,3,2020-04-01,ESFP5,Piñas,143.54
117,2020,4,3,2020-04-01,ESFP5,Flores,0.0
118,2020,4,3,2020-04-01,ESFP5,Heces,0.0
119,2020,4,3,2020-04-01,ESFP5,Otros,0.0
120,2020,4,3,2020-04-01,ESFP9,Ramas,0.0
121,2020,4,3,2020-04-01,ESFP9,Corteza,34.85
122,2020,4,3,2020-04-01,ESFP9,Acículas,0.18
123,2020,4,3,2020-04-01,ESFP9,Piñas,4.64
124,2020,4,3,2020-04-01,ESFP9,Flores,209.71
125,2020,4,3,2020-04-01,ESFP9,Heces,0.0
126,2020,4,3,2020-04-01,ESFP9,Otros,0.0
127,2020,4,3,2020-04-01,ESFP13,Ramas,0.0
128,2020,4,3,2020-04-01,ESFP13,Corteza,22.74
129,2020,4,3,2020-04-01,ESFP13,Acículas,4.93
130,2020,4,3,2020-04-01,ESFP13,Piñas,7.54
131,2020,4,3,2020-04-01,ESFP13,Flores,2.15
132,2020,4,3,2020-04-01,ESFP13,Heces,0.0
133,2020,4,3,2020-04-01,ESFP13,Otros,0.0
134,2020,4,3,2020-04-01,ESFP16,Ramas,2.02
135,2020,4,3,2020-04-01,ESFP16,Corteza,58.31
136,2020,4,3,2020-04-01,ESFP16,Acículas,1.99
137,2020,4,3,2020-04-01,ESFP16,Piñas,0.0
138,2020,4,3,2020-04-01,ESFP16,Flores,115.0
139,2020,4,3,2020-04-01,ESFP16,Heces,14.48
140,2020,4,3,2020-04-01,ESFP16,Otros,0.0
141,2020,5,4,2020-05-05,ESFP2,Ramas,6.94
142,2020,5,4,2020-05-05,ESFP2,Corteza,179.91
143,2020,5,4,2020-05-05,ESFP2,Acículas,9.87
144,2020,5,4,2020-05-05,ESFP2,Piñas,25.38
145,2020,5,4,2020-05-05,ESFP2,Flores,26.75
146,2020,5,4,2020-05-05,ESFP2,Heces,0.0
147,2020,5,4,2020-05-05,ESFP2,Otros,5.18
148,2020,5,4,2020-05-05,ESFP5,Ramas,0.0
149,2020,5,4,2020-05-05,ESFP5,Corteza,138.44
150,2020,5,4,2020-05-05,ESFP5,Acículas,108.49
151,2020,5,4,2020-05-05,ESFP5,Piñas,255.05
152,2020,5,4,2020-05-05,ESFP5,Flores,2.66
153,2020,5,4,2020-05-05,ESFP5,Heces,0.0
154,2020,5,4,2020-05-05,ESFP5,Otros,5.58
155,2020,5,4,2020-05-05,ESFP9,Ramas,0.0
156,2020,5,4,2020-05-05,ESFP9,Corteza,111.01
157,2020,5,4,2020-05-05,ESFP9,Acículas,2.25
158,2020,5,4,2020-05-05,ESFP9,Piñas,0.0
159,2020,5,4,2020-05-05,ESFP9,Flores,90.0
160,2020,5,4,2020-05-05,ESFP9,Heces,0.0
161,2020,5,4,2020-05-05,ESFP9,Otros,5.08
162,2020,5,4,2020-05-05,ESFP13,Ramas,0.0
163,2020,5,4,2020-05-05,ESFP13,Corteza,7.6
164,2020,5,4,2020-05-05,ESFP13,Acículas,0.0
